Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00110,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,31-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.1,µg/g,2013_TS020,,,
C2013COUM00111,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,27.7,µg/g,2013_TS020,,,
C2013COUM00112,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,28-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,29.5,µg/g,2013_TS020,,,
C2013COUM00113,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,28.4,µg/g,2013_TS020,,,
C2013COUM00114,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,24.8,µg/g,2013_TS020,,,
C2013COUM00115,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,18-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00116,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,17-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,13,µg/g,2013_TS020,,,
C2013COUM00117,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3,µg/g,2013_TS020,,,
C2013COUM00118,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00119,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Infant Food - Cereal,Céréales - Nourrissons,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.6,µg/g,2013_TS020,,,
